Format Version,1.0,
Take Name,TrunkStability_DS_MOCAP_Raw_6,
Capture Frame Rate,1920.00,
Export Frame Rate,120.00,
Capture Start Time,09 Aug 2021 09:19:06 -0400,
Total Frames In Take,1947,
Total Exported Frames,31152,
Coordinate Space,Local,
Device Name,NIDAQ USB-6343 (BNC) 31369206,
Device Type,1,
Device Channel Count,10,
Mocap Rate,120.00,
Mocap Rate Multiple,16.00

MocapFrame, MocapTime, DeviceFrame,ESR,ESL,IntOblR,IntOblL,LatR,LatL,AbsR,AbsL,ExtOblR,ExtOblL
0,0.000000,0,-0.009910,-0.010567,0.018343,0.024256,0.004217,-0.002682,-0.029292,0.027541,-0.012538,0.029512
0,0.000000,1,-0.011881,-0.016151,0.019985,0.021628,0.002902,-0.008267,-0.020751,0.026884,-0.001368,0.013086
0,0.000000,2,-0.019765,-0.015494,0.019657,0.024256,0.007173,-0.003011,-0.029292,0.027541,0.022942,0.000274
0,0.000000,3,-0.017794,-0.019765,0.020314,0.024256,0.012429,-0.000711,-0.026993,0.022613,-0.016151,0.033783
0,0.000000,4,-0.019108,-0.018123,0.023599,0.023599,0.017029,0.002245,-0.027978,0.022613,0.002245,-0.012866
0,0.000000,5,-0.021736,-0.014837,0.024256,0.024585,0.005531,0.011772,-0.027650,0.022942,-0.000383,0.011772
0,0.000000,6,-0.026007,-0.011552,0.022613,0.027213,0.008816,0.004545,-0.029949,0.027870,0.018671,0.017029
0,0.000000,7,-0.017466,-0.014509,0.022942,0.028527,0.007830,0.006516,-0.031263,0.018343,0.037068,0.016372
0,0.000000,8,-0.014509,-0.007610,0.022613,0.028527,0.004545,0.007502,-0.031592,0.021299,0.001588,0.007502
0,0.000000,9,-0.010567,-0.005967,0.019657,0.021956,0.009473,0.005202,-0.030935,0.022285,0.025570,0.015715
0,0.000000,10,-0.007939,-0.005310,0.019328,0.023270,-0.001368,0.000603,-0.024364,0.020971,0.025899,0.023270
0,0.000000,11,-0.001368,-0.006953,0.021628,0.022942,0.004217,0.002902,-0.026664,0.011772,0.024256,0.025899
0,0.000000,12,-0.000383,-0.004982,0.022285,0.022942,0.006516,0.000931,-0.030606,0.023599,0.019985,0.027541
0,0.000000,13,0.008159,0.001260,0.022285,0.024256,0.007502,-0.003011,-0.027978,0.027870,0.007830,0.031155
0,0.000000,14,0.013744,0.009144,0.016700,0.023928,0.008487,0.000274,-0.030278,0.021628,0.044953,0.024913
0,0.000000,15,0.015715,0.010458,0.022942,0.022942,0.006516,-0.002354,-0.027650,0.024256,0.030826,0.035097
1,0.008333,16,0.014729,0.006516,0.022942,0.024913,0.003560,-0.001040,-0.031263,0.021628,0.027213,0.034112
1,0.008333,17,0.010130,0.001588,0.027870,0.025570,0.006845,0.003231,-0.030278,0.023928,0.015386,0.057765
1,0.008333,18,0.005531,0.000274,0.018671,0.027541,0.014401,0.009144,-0.031263,0.023599,0.031155,0.041996
1,0.008333,19,0.003231,-0.000383,0.021299,0.027870,0.011115,-0.000054,-0.029949,0.022942,0.029512,0.038382
1,0.008333,20,0.003231,-0.004325,0.020642,0.025570,0.009801,0.006845,-0.029292,0.025242,0.026884,0.040353
1,0.008333,21,-0.011881,-0.001040,0.018671,0.024256,0.013086,0.002245,-0.026664,0.029512,0.018343,0.041667
1,0.008333,22,-0.009910,-0.009910,0.019000,0.026227,0.015715,0.001260,-0.028307,0.024913,0.057765,0.029841
1,0.008333,23,-0.004982,-0.007939,0.018343,0.026884,0.015386,-0.000054,-0.027650,0.029512,0.035754,0.045610
1,0.008333,24,0.002902,-0.006296,0.019000,0.028527,0.017686,-0.013852,-0.027650,0.026556,0.023928,0.034769
